termino_busqueda,campaña,grupo,impresiones,clicks,costo,conversiones,ctr_pct,cpc,costo_por_lead,ctr_estado,genera_trafico,convierte
fertilizante,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,71,2,174.09,0.0,2.8169014084507045,87.045,,bajo,True,False
agro sustentable,Biotica N2 - Búsqueda,Cultivos Específicos,11,2,723.23,1.0,18.181818181818183,361.615,723.23,alto por baja muestra,True,True
bacterias fijadoras de nitrogeno,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,24,1,158.39,0.0,4.166666666666666,158.39,,medio,True,False
biofertilizantes,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,73,1,1270.61,0.0,1.36986301369863,1270.61,,bajo,True,False
camelina sativa,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,1,316.112532,0.0,100.0,316.112532,,alto por baja muestra,True,False
croplift bio,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,3,1,1321.03,0.0,33.33333333333333,1321.03,,alto por baja muestra,True,False
el agua de lentejas sirve para las plantas,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,1,1099.08,0.0,50.0,1099.08,,alto por baja muestra,True,False
fertilizante con cáscara de huevo plátano y café,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,1,615.92,0.0,100.0,615.92,,alto por baja muestra,True,False
humus de lombriz,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,24,1,636.55,0.0,4.166666666666666,636.55,,medio,True,False
kepal apiiv2,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,7,1,242.76,0.0,14.285714285714285,242.76,,alto por baja muestra,True,False
leonardita al por mayor,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,1,485.68,0.0,100.0,485.68,,alto por baja muestra,True,False
microfusion fertilizante,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,3,1,765.21,0.0,33.33333333333333,765.21,,alto por baja muestra,True,False
aminoterra plus zinc,Biotica N2 - Búsqueda,Reemplazo de Fertilizantes,1,1,209.96,0.0,100.0,209.96,,alto por baja muestra,True,False
apisbloom,Biotica N2 - Búsqueda,Reemplazo de Fertilizantes,1,1,256.69,0.0,100.0,256.69,,alto por baja muestra,True,False
fertilizantes agricolas precios,Biotica N2 - Búsqueda,Reemplazo de Fertilizantes,1,1,679.34,0.0,100.0,679.34,,alto por baja muestra,True,False
fertilizar,Biotica N2 - Búsqueda,Reemplazo de Fertilizantes,3,1,98.84,0.0,33.33333333333333,98.84,,alto por baja muestra,True,False
leonardita fertilizante,Biotica N2 - Búsqueda,Reemplazo de Fertilizantes,9,1,2024.55,0.0,11.11111111111111,2024.55,,alto por baja muestra,True,False
nurture fertilizante,Biotica N2 - Búsqueda,Reemplazo de Fertilizantes,2,1,986.82,0.0,50.0,986.82,,alto por baja muestra,True,False
rizobacter,Biotica N2 - Búsqueda,Reemplazo de Fertilizantes,45,1,800.196547,0.0,2.2222222222222223,800.196547,,bajo,True,False
bioinsumos,Biotica N2 - Búsqueda,Cultivos Específicos,6,1,303.11,0.0,16.666666666666664,303.11,,alto por baja muestra,True,False
biotica n2,Biotica N2 - Búsqueda,Cultivos Específicos,3,1,270.85,0.0,33.33333333333333,270.85,,alto por baja muestra,True,False
cual es el rinde de la soja por hectarea,Biotica N2 - Búsqueda,Cultivos Específicos,2,1,338.55,0.0,50.0,338.55,,alto por baja muestra,True,False
cultivo intensivo,Biotica N2 - Búsqueda,Cultivos Específicos,1,1,288.99,0.0,100.0,288.99,,alto por baja muestra,True,False
fender agro,Biotica N2 - Búsqueda,Cultivos Específicos,12,1,334.604572,0.0,8.333333333333332,334.604572,,objetivo,True,False
fertilizante fosforado,Biotica N2 - Búsqueda,Cultivos Específicos,3,1,561.33,0.0,33.33333333333333,561.33,,alto por baja muestra,True,False
fertilizantes foliares,Biotica N2 - Búsqueda,Cultivos Específicos,6,1,523.02,0.0,16.666666666666664,523.02,,alto por baja muestra,True,False
la agroquimica,Biotica N2 - Búsqueda,Cultivos Específicos,10,1,279.3,0.0,10.0,279.3,,objetivo,True,False
nutrición de cultivos,Biotica N2 - Búsqueda,Cultivos Específicos,1,1,346.97,0.0,100.0,346.97,,alto por baja muestra,True,False
soja,Biotica N2 - Búsqueda,Cultivos Específicos,216,1,76.15,0.0,0.4629629629629629,76.15,,bajo,True,False
verdadero,Biotica N2 - Búsqueda,Cultivos Específicos,74,1,153.2,0.0,1.3513513513513513,153.2,,bajo,True,False
10 10 40,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
10 20 10 fertilizante,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
20 20 20 mas siete,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,72,0,0.0,0.0,0.0,0.0,,bajo,False,False
20.20 20 fertilizer,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono compuesto,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono de estiercol de vaca,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono hidrocomplex,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono nks,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono organico para plantas,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono orgánicos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono para bulbos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,4,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono para camelias,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono triple 15 para que sirve,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abono urea,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abonos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abonos biologicos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,5,0,0.0,0.0,0.0,0.0,,bajo,False,False
abonos organicos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,15,0,0.0,0.0,0.0,0.0,,bajo,False,False
abonos orgánico,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
abonos orgánicos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,6,0,0.0,0.0,0.0,0.0,,bajo,False,False
abonos verdes,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
acido fosforico como fertilizante,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
acido giberelico funcion,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
acido salicilico en plantas,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
acidos humicos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
acidos humicos y fulvicos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
activol para que sirve,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
adama,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
adecoagro,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,3,0,0.0,0.0,0.0,0.0,,bajo,False,False
agrefert ar sa,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agricultura,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agricultura biodinamica,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agricultura hidropónica,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agricultura organica,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
agricultura regenerativa que es,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agricultura vertical,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agroforesteria,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agrofy,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agrogenia biotech,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agroinsumos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agromix,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
agroquimicos en argentina,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agroquímicos en argentina,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
agua con azucar para las plantas,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agua de arroz para las plantas para que sirve,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
agua de legumbres para plantas,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
alga grow plagron,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
alga grow plagron dosis,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
alga mic biobizz,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
algavalle,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
aliette,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
als fosforo liquido,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
alternativas a los agroquimicos,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
amazonia micorrizas,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
amazonia namaste,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
amino ficha tecnica,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
aminofish,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
aminoquelant,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
androesterilidad en plantas,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,5,0,0.0,0.0,0.0,0.0,,bajo,False,False
análisis de suelo,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
aplicacion de fosforo,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
aplicación de las hormonas vegetales en la agricultura,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
applaud,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
area foliar,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
auxinas,Biotica N2 - Búsqueda,Bioinsumos y Biofertilizantes,10,0,0.0,0.0,0.0,0.0,,bajo,False,False
